10000
228 276 132 340 388
260 276 372 484 436
292 132 340 244 308
116 340 452 276 388
372 164 212 180 292
468 372 260 164 132
452 228 404 372 388
196 276 372 164 468
436 404 244 292 468
484 340 420 308 116
356 180 196 468 292
420 436 196 180 100
244 132 276 180 436
164 308 212 484 420
212 420 324 372 244
324 388 100 292 228
116 148 308 244 164
484 212 260 116 388
324 292 116 276 404
324 420 244 148 372
116 452 132 372 196
116 180 276 356 340
324 404 340 164 196
372 452 436 196 100
244 132 372 196 452
148 276 340 196 228
404 484 148 436 212
164 148 404 420 388
228 340 484 436 468
388 420 436 116 180
164 308 324 148 356
100 388 244 324 484
324 292 196 388 356
132 340 244 276 212
116 292 148 100 212
484 436 228 420 164
292 260 388 148 276
148 164 116 388 308
308 196 340 164 388
148 308 404 372 436
484 388 420 228 340
484 452 100 404 340
180 324 164 276 404
212 372 324 452 180
164 468 276 452 148
484 388 436 340 452
276 260 180 116 148
180 420 276 404 116
452 340 228 356 212
228 484 292 100 276
132 484 164 100 388
436 468 196 180 228
404 260 308 484 196
484 436 244 468 308
388 340 420 116 356
244 340 116 372 276
212 420 196 164 388
292 468 452 244 276
260 372 292 196 116
308 452 436 180 404
484 436 164 324 276
340 372 180 148 132
100 244 228 420 484
452 404 436 196 180
244 372 452 100 260
452 484 340 372 468
308 468 340 484 244
196 404 276 212 180
404 164 468 116 100
180 260 372 164 244
388 180 436 372 164
308 276 164 116 244
404 132 196 244 436
372 388 148 324 452
228 468 276 148 340
164 372 436 388 100
436 308 452 484 340
148 228 308 452 372
276 100 132 436 308
212 164 276 260 324
436 260 164 148 132
100 468 196 132 404
452 484 388 324 132
148 100 196 452 308
244 116 260 324 372
340 132 164 484 324
260 164 388 132 100
308 436 484 324 372
308 372 420 388 404
164 340 212 356 404
116 212 276 372 260
372 468 276 196 244
340 100 436 372 132
244 340 116 484 212
324 388 180 228 292
276 100 436 116 404
356 132 148 164 436
340 452 420 116 180
196 388 212 132 292
276 324 180 292 340
292 164 260 404 324
484 180 356 420 228
292 308 356 420 244
196 372 260 484 292
180 244 372 388 420
228 468 292 324 212
148 212 324 436 164
100 244 388 308 484
228 212 196 388 420
484 372 324 404 308
452 404 468 196 292
212 340 372 356 436
212 484 356 452 116
196 436 292 340 164
180 468 100 196 356
356 132 196 324 436
164 308 180 388 436
420 292 164 132 260
276 164 116 228 212
244 212 404 484 276
132 100 276 260 388
180 308 484 404 276
180 244 356 100 324
324 388 180 212 452
212 372 180 388 484
116 388 276 148 484
324 308 164 132 292
100 308 404 260 212
404 372 436 260 292
356 148 388 468 100
356 260 388 372 276
308 180 340 228 164
436 276 228 260 324
468 164 116 180 100
388 148 260 196 420
324 484 420 372 116
308 132 436 196 340
260 276 180 420 388
276 372 212 436 164
436 420 244 452 132
244 340 228 452 468
180 308 452 100 468
324 244 452 484 212
260 212 164 388 468
276 340 148 244 292
292 228 356 468 484
452 164 260 436 212
340 452 436 116 404
388 116 148 228 212
244 148 196 452 420
244 228 468 356 116
468 340 132 436 324
244 196 260 356 484
244 324 100 148 196
324 308 116 372 452
468 292 196 212 452
196 100 164 340 308
212 404 196 148 420
228 212 196 292 340
436 100 164 452 372
116 452 212 244 196
196 340 212 228 420
484 292 452 228 116
164 132 244 292 212
212 436 356 308 260
212 276 260 180 340
228 324 116 356 420
372 100 148 324 340
276 260 388 292 148
212 436 260 180 308
100 340 420 292 148
228 452 100 212 132
116 404 436 484 260
148 324 468 308 260
388 132 340 116 484
132 196 292 484 212
356 132 372 260 388
468 244 420 116 180
356 148 164 228 388
148 452 180 484 420
100 452 228 292 132
212 436 388 244 324
244 436 260 212 164
276 292 452 356 132
100 292 212 484 372
164 468 340 196 116
324 340 308 356 452
292 244 148 436 180
292 196 340 356 420
132 340 276 404 372
276 228 116 292 100
196 308 372 324 212
164 100 356 292 308
404 276 420 196 260
484 324 340 116 276
228 324 404 260 132
436 388 340 324 244
196 468 324 260 420
132 308 228 468 484
180 388 196 260 228
468 276 436 228 132
340 420 196 276 468
100 164 324 372 484
244 404 324 308 116
116 228 404 388 164
196 100 356 276 372
292 372 164 132 388
196 132 484 212 388
356 228 132 292 452
468 212 292 100 228
452 436 388 356 148
116 484 180 388 260
468 180 164 244 260
292 484 404 180 356
132 260 180 116 228
324 340 228 468 308
212 388 196 260 420
180 340 308 356 420
436 372 164 180 388
420 484 308 164 276
404 212 260 468 180
228 308 292 164 404
484 116 324 372 180
276 340 484 196 244
228 292 452 468 388
404 372 164 484 324
244 308 388 148 292
404 180 164 228 484
244 404 340 260 292
148 404 100 292 132
292 324 260 180 164
276 212 164 148 356
372 436 452 180 388
164 276 148 452 100
420 212 292 484 116
324 276 148 116 468
404 276 196 212 372
372 324 436 420 180
356 404 164 468 292
228 244 372 292 196
372 244 340 196 228
404 420 452 436 244
116 132 436 340 100
388 452 356 324 132
356 148 292 100 436
484 228 308 276 420
404 388 340 356 372
324 292 308 468 340
324 132 308 196 148
212 164 436 228 308
100 420 340 436 452
116 244 228 100 196
132 420 452 436 324
276 228 148 100 372
356 324 484 404 436
180 372 404 308 212
404 260 100 372 212
116 164 340 148 260
420 468 212 356 292
420 116 340 244 228
100 372 244 436 340
324 308 260 164 468
196 324 468 116 484
